Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
158,21.0,0.0
158,22.0,0.0
158,23.0,0.0
158,24.0,0.0
158,25.0,0.0
158,26.0,0.0
158,27.0,0.0
158,28.0,0.0
158,29.0,0.0
158,30.0,0.0
158,31.0,0.0
158,32.0,0.0
158,33.0,0.0
158,34.0,0.0
158,35.0,0.0
158,36.0,0.0
158,37.0,0.0
158,38.0,0.0
158,39.0,0.0
158,40.0,0.0
158,41.0,0.0
158,42.0,0.0
158,43.0,0.0
158,44.0,0.0
158,45.0,0.0
158,46.0,0.0
158,47.0,0.0
158,48.0,0.0
158,49.0,0.0
158,50.0,0.0
158,51.0,0.0
158,52.0,0.0
158,53.0,0.0
158,54.0,0.0
158,55.0,0.0
158,56.0,0.0
158,57.0,0.0
158,58.0,0.0
158,59.0,0.0
158,60.0,0.0
158,61.0,0.0
158,62.0,0.0
158,63.0,0.0
158,64.0,0.0
158,65.0,0.0
158,66.0,0.0
158,67.0,0.0
158,68.0,0.0
158,69.0,0.0
158,70.0,0.0
158,71.0,0.0
158,72.0,0.0
158,73.0,0.0
158,74.0,0.0
158,75.0,0.0
158,76.0,0.0
158,77.0,0.0
158,78.0,0.0
158,79.0,0.0
158,80.0,0.0
158,81.0,0.0
158,82.0,0.0
158,83.0,0.0
158,84.0,0.0
158,85.0,0.0
158,86.0,0.0
158,87.0,0.0
158,88.0,0.0
158,89.0,0.0
158,90.0,0.0
158,91.0,0.0
158,92.0,0.0
158,93.0,0.0
158,94.0,0.0
158,95.0,0.0
158,96.0,0.0
158,97.0,0.0
158,98.0,0.0
158,99.0,0.0
200,1.77,11.115514943049819
200,2.0,8.044178265699395
200,2.36,4.9905672489397155
200,2.7199999999999998,3.2621274588847955
200,3.08,2.269252563124881
200,3.44,1.6727656769509576
200,3.8,1.2871926294621179
200,4.16,1.0163254132980866
200,4.52,0.8126047664915943
200,4.88,0.6530625581340848
200,5.24,0.5259467568021828
200,5.6,0.42417093390049176
200,5.96,0.34255979876976667
200,6.32,0.27695365315929893
200,6.68,0.2239994445391898
200,7.04,0.18111950084922834
200,7.3999999999999995,0.14631929309856118
200,7.76,0.11804520891480474
200,8.120000000000001,0.09506806977471673
200,8.48,0.07640733183098096
200,8.84,0.06125206188584814
200,9.2,0.048960888770596164
200,9.559999999999999,0.038996291503677116
200,9.92,0.03093993135211855
200,10.28,0.024434387701251614
200,10.64,0.019200992936774738
200,11.0,0.014998413505336624
200,11.36,0.011638294640071378
200,11.719999999999999,0.008963260010547817
200,12.08,0.006843784017490316
200,12.44,0.005173961007084361
200,12.799999999999999,0.0038670644127364847
200,13.16,0.0028515633740495523
200,13.52,0.0020708133820589647
200,13.879999999999999,0.0014763157135604544
200,14.24,0.0010296170299963613
200,14.6,0.0006997212268486433
200,14.959999999999999,0.00046032794182351123
200,15.32,0.0002910966181490532
200,15.68,0.00017466073611323825
200,16.04,9.776998177701997e-05
200,16.4,4.976391112897057e-05
200,16.759999999999998,2.2091341256982158e-05
200,17.119999999999997,7.905335802871264e-06
200,17.479999999999997,1.8978168350095656e-06
200,17.84,1.7393055069567425e-07
200,18.2,0.0
200,18.56,0.0
200,18.919999999999998,0.0
200,19.28,0.0
200,19.64,0.0
200,20.0,0.0
200,21.0,0.0
200,22.0,0.0
200,23.0,0.0
200,24.0,0.0
200,25.0,0.0
200,26.0,0.0
200,27.0,0.0
200,28.0,0.0
200,29.0,0.0
200,30.0,0.0
200,31.0,0.0
200,32.0,0.0
200,33.0,0.0
200,34.0,0.0
200,35.0,0.0
200,36.0,0.0
200,37.0,0.0
200,38.0,0.0
200,39.0,0.0
200,40.0,0.0
200,41.0,0.0
200,42.0,0.0
200,43.0,0.0
200,44.0,0.0
200,45.0,0.0
200,46.0,0.0
200,47.0,0.0
200,48.0,0.0
200,49.0,0.0
200,50.0,0.0
200,51.0,0.0
200,52.0,0.0
200,53.0,0.0
200,54.0,0.0
200,55.0,0.0
200,56.0,0.0
200,57.0,0.0
200,58.0,0.0
200,59.0,0.0
200,60.0,0.0
200,61.0,0.0
200,62.0,0.0
200,63.0,0.0
200,64.0,0.0
200,65.0,0.0
200,66.0,0.0
200,67.0,0.0
200,68.0,0.0
200,69.0,0.0
200,70.0,0.0
200,71.0,0.0
200,72.0,0.0
200,73.0,0.0
200,74.0,0.0
200,75.0,0.0
200,76.0,0.0
200,77.0,0.0
200,78.0,0.0
200,79.0,0.0
200,80.0,0.0
200,81.0,0.0
200,82.0,0.0
200,83.0,0.0
200,84.0,0.0
200,85.0,0.0
200,86.0,0.0
200,87.0,0.0
200,88.0,0.0
200,89.0,0.0
200,90.0,0.0
200,91.0,0.0
200,92.0,0.0
200,93.0,0.0
200,94.0,0.0
200,95.0,0.0
200,96.0,0.0
200,97.0,0.0
200,98.0,0.0
200,99.0,0.0
251,1.77,18.669091244287458
251,2.0,13.691784399729684
251,2.36,8.501843520695406
251,2.7199999999999998,5.406978054670964
251,3.08,3.574906447560505
251,3.44,2.4843492290750513
251,3.8,1.8192678659449197
251,4.16,1.3941919168053205
251,4.52,1.1043168064940903
251,4.88,0.8925599016124577
251,5.24,0.7290591464969367
251,5.6,0.5983846325736611
251,5.96,0.4921936271398359
251,6.32,0.4053998419063549
251,6.68,0.33431246259295083
251,7.04,0.27603662499764725
251,7.3999999999999995,0.2281030537820337
251,7.76,0.18855022536709934
251,8.120000000000001,0.1558152415383191
251,8.48,0.1286759317807702
251,8.84,0.10616349845542228
251,9.2,0.08747554581539131
251,9.559999999999999,0.07197025310593477
251,9.92,0.059104078211446656
251,10.28,0.04843408446476199
251,10.64,0.039592950241772715
251,11.0,0.032274219218378954
251,11.36,0.026222682468603355
251,11.719999999999999,0.021231193606469
251,12.08,0.017121169093794585
251,12.44,0.01374413119154688
251,12.799999999999999,0.01097637380694504
251,13.16,0.008716709251892165
251,13.52,0.006877197332121433
251,13.879999999999999,0.005386976035608875
251,14.24,0.004184877166025049
251,14.6,0.0032207414300748326
251,14.959999999999999,0.0024519505065171343
251,15.32,0.0018434654945762314
251,15.68,0.0013662840869544924
251,16.04,0.00099565122893333
251,16.4,0.0007111111754514924
251,16.759999999999998,0.0004960307754218158
251,17.119999999999997,0.0003361603159560811
251,17.479999999999997,0.0002199211873262585
251,17.84,0.000137651691570889
251,18.2,8.147237297358269e-05
251,18.56,4.4709436391938456e-05
251,18.919999999999998,2.202295300500367e-05
251,19.28,9.23999474281014e-06
251,19.64,2.9983338032918186e-06
251,20.0,5.831586149923343e-07
251,21.0,0.0
251,22.0,0.0
251,23.0,0.0
251,24.0,0.0
251,25.0,0.0
251,26.0,0.0
251,27.0,0.0
251,28.0,0.0
251,29.0,0.0
251,30.0,0.0
251,31.0,0.0
251,32.0,0.0
251,33.0,0.0
251,34.0,0.0
251,35.0,0.0
251,36.0,0.0
251,37.0,0.0
251,38.0,0.0
251,39.0,0.0
251,40.0,0.0
251,41.0,0.0
251,42.0,0.0
251,43.0,0.0
251,44.0,0.0
251,45.0,0.0
251,46.0,0.0
251,47.0,0.0
251,48.0,0.0
251,49.0,0.0
251,50.0,0.0
251,51.0,0.0
251,52.0,0.0
251,53.0,0.0
251,54.0,0.0
251,55.0,0.0
251,56.0,0.0
251,57.0,0.0
251,58.0,0.0
251,59.0,0.0
251,60.0,0.0
251,61.0,0.0
251,62.0,0.0
251,63.0,0.0
251,64.0,0.0
251,65.0,0.0
251,66.0,0.0
251,67.0,0.0
251,68.0,0.0
251,69.0,0.0
251,70.0,0.0
251,71.0,0.0
251,72.0,0.0
251,73.0,0.0
251,74.0,0.0
251,75.0,0.0
251,76.0,0.0
251,77.0,0.0
251,78.0,0.0
251,79.0,0.0
251,80.0,0.0
251,81.0,0.0
251,82.0,0.0
251,83.0,0.0
251,84.0,0.0
251,85.0,0.0
251,86.0,0.0
251,87.0,0.0
251,88.0,0.0
251,89.0,0.0
251,90.0,0.0
251,91.0,0.0
251,92.0,0.0
251,93.0,0.0
251,94.0,0.0
251,95.0,0.0
251,96.0,0.0
251,97.0,0.0
251,98.0,0.0
251,99.0,0.0
316,1.77,30.29982458321514
316,2.0,22.7530215888713
316,2.36,14.526828390704049
316,2.7199999999999998,9.336314541103478
316,3.08,6.096738149609175
316,3.44,4.088138024820558
316,3.8,2.843005404848022
316,4.16,2.0633867053520243
316,4.52,1.5632766765740223
316,4.88,1.22912658333508
316,5.24,0.9935961997015537
316,5.6,0.817864676189689
316,5.96,0.6802497579697737
316,6.32,0.5688125800500565
316,6.68,0.4768587803414135
316,7.04,0.4003320961333976
316,7.3999999999999995,0.3364891182109789
316,7.76,0.28312416670527524
316,8.120000000000001,0.23846165922376705
316,8.48,0.20099822841903908
316,8.84,0.16948339884004304
316,9.2,0.14290170928404103
316,9.559999999999999,0.12043879960478933
316,9.92,0.10144730687035301
316,10.28,0.08537116622668033
316,10.64,0.07176976671618619
316,11.0,0.06025994087286106
316,11.36,0.05052081061283608
316,11.719999999999999,0.04228501624221357
316,12.08,0.03532159058922013
316,12.44,0.02943999841215266
316,12.799999999999999,0.024480516897421076
316,13.16,0.02029911429266558
316,13.52,0.016781455462660574
316,13.879999999999999,0.013827792697918595
316,14.24,0.011351506681193758
316,14.6,0.009280183153811484
316,14.959999999999999,0.007554236566638764
316,15.32,0.00611627973948667
316,15.68,0.00492627542327122
316,16.04,0.0039421179500548015
316,16.4,0.0031329094075963813
316,16.759999999999998,0.002470557836476727
316,17.119999999999997,0.0019307247591817366
316,17.479999999999997,0.001493783190661883
316,17.84,0.0011422510331970915
316,18.2,0.0008616273176994259
316,18.56,0.0006398820492406756
316,18.919999999999998,0.0004664103137996965
316,19.28,0.00033265812367979356
316,19.64,0.00023108530413121426
316,20.0,0.00015547316049827336
316,21.0,4.061100477615822e-05
316,22.0,5.371438678318677e-06
316,23.0,4.3240009487682814e-08
316,24.0,0.0
316,25.0,0.0
316,26.0,0.0
316,27.0,0.0
316,28.0,0.0
316,29.0,0.0
316,30.0,0.0
316,31.0,0.0
316,32.0,0.0
316,33.0,0.0
316,34.0,0.0
316,35.0,0.0
316,36.0,0.0
316,37.0,0.0
316,38.0,0.0
316,39.0,0.0
316,40.0,0.0
316,41.0,0.0
316,42.0,0.0
316,43.0,0.0
316,44.0,0.0
316,45.0,0.0
316,46.0,0.0
316,47.0,0.0
316,48.0,0.0
316,49.0,0.0
316,50.0,0.0
316,51.0,0.0
316,52.0,0.0
316,53.0,0.0
316,54.0,0.0
316,55.0,0.0
316,56.0,0.0
316,57.0,0.0
316,58.0,0.0
316,59.0,0.0
316,60.0,0.0
316,61.0,0.0
316,62.0,0.0
316,63.0,0.0
316,64.0,0.0
316,65.0,0.0
316,66.0,0.0
316,67.0,0.0
316,68.0,0.0
316,69.0,0.0
316,70.0,0.0
316,71.0,0.0
316,72.0,0.0
316,73.0,0.0
316,74.0,0.0
316,75.0,0.0
316,76.0,0.0
316,77.0,0.0
316,78.0,0.0
316,79.0,0.0
316,80.0,0.0
316,81.0,0.0
316,82.0,0.0
316,83.0,0.0
316,84.0,0.0
316,85.0,0.0
316,86.0,0.0
316,87.0,0.0
316,88.0,0.0
316,89.0,0.0
316,90.0,0.0
316,91.0,0.0
316,92.0,0.0
316,93.0,0.0
316,94.0,0.0
316,95.0,0.0
316,96.0,0.0
316,97.0,0.0
316,98.0,0.0
316,99.0,0.0
398,1.77,46.79870536232123
398,2.0,36.04823832474443
398,2.36,23.88730507819247
398,2.7199999999999998,15.826535362845318
398,3.08,10.530704199767834
398,3.44,7.076016632217894
398,3.8,4.834400403088691
398,4.16,3.383826611282455
398,4.52,2.443140405164932
398,4.88,1.8272493854429002
398,5.24,1.415902812004932
398,5.6,1.1322766256086396
398,5.96,0.9283096251354861
398,6.32,0.7746339243743453
398,6.68,0.6537026165080755
398,7.04,0.5552782157616566
398,7.3999999999999995,0.4733029310241464
398,7.76,0.40418095934611503
398,8.120000000000001,0.3455609778651294
398,8.48,0.2957249737335549
398,8.84,0.25332090221190656
398,9.2,0.21719657989925129
398,9.559999999999999,0.1863471904709761
398,9.92,0.15997148981323778
398,10.28,0.13735292570610028
398,10.64,0.11791761509725462
398,11.0,0.10119717178126247
398,11.36,0.08680359614028837
398,11.719999999999999,0.07440481211054692
398,12.08,0.0637307307005398
398,12.44,0.05453661938097018
398,12.799999999999999,0.04661364194313085
398,13.16,0.039794276062603974
398,13.52,0.033924742279321525
398,13.879999999999999,0.028874471666970377
398,14.24,0.024530824665295384
398,14.6,0.020799195993975297
398,14.959999999999999,0.01759742548499221
398,15.32,0.014852320790735472
398,15.68,0.01250380841367651
398,16.04,0.010496148898980493
398,16.4,0.008783186732735706
398,16.759999999999998,0.007324247519742661
398,17.119999999999997,0.006084392625661305
398,17.479999999999997,0.005033842890942269
398,17.84,0.00414508134270685
398,18.2,0.003396329473269931
398,18.56,0.002767531004709896
398,18.919999999999998,0.002240847114645489
398,19.28,0.0018021306250211454
398,19.64,0.001438114019617477
398,20.0,0.0011379152638915256
398,21.0,0.0005620692061208343
398,22.0,0.0002489108831311864
398,23.0,9.248437202960854e-05
398,24.0,2.5251023708063605e-05
398,25.0,3.6163894928467325e-06
398,26.0,4.703616550662862e-08
398,27.0,0.0
398,28.0,0.0
398,29.0,0.0
398,30.0,0.0
398,31.0,0.0
398,32.0,0.0
398,33.0,0.0
398,34.0,0.0
398,35.0,0.0
398,36.0,0.0
398,37.0,0.0
398,38.0,0.0
398,39.0,0.0
398,40.0,0.0
398,41.0,0.0
398,42.0,0.0
398,43.0,0.0
398,44.0,0.0
398,45.0,0.0
398,46.0,0.0
398,47.0,0.0
398,48.0,0.0
398,49.0,0.0
398,50.0,0.0
398,51.0,0.0
398,52.0,0.0
398,53.0,0.0
398,54.0,0.0
398,55.0,0.0
398,56.0,0.0
398,57.0,0.0
