Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
158,21.0,0.0
158,22.0,0.0
158,23.0,0.0
158,24.0,0.0
158,25.0,0.0
158,26.0,0.0
158,27.0,0.0
158,28.0,0.0
158,29.0,0.0
158,30.0,0.0
158,31.0,0.0
158,32.0,0.0
158,33.0,0.0
158,34.0,0.0
158,35.0,0.0
158,36.0,0.0
158,37.0,0.0
158,38.0,0.0
158,39.0,0.0
158,40.0,0.0
158,41.0,0.0
158,42.0,0.0
158,43.0,0.0
158,44.0,0.0
158,45.0,0.0
158,46.0,0.0
158,47.0,0.0
158,48.0,0.0
158,49.0,0.0
158,50.0,0.0
158,51.0,0.0
158,52.0,0.0
158,53.0,0.0
158,54.0,0.0
158,55.0,0.0
158,56.0,0.0
158,57.0,0.0
158,58.0,0.0
158,59.0,0.0
158,60.0,0.0
158,61.0,0.0
158,62.0,0.0
158,63.0,0.0
158,64.0,0.0
158,65.0,0.0
158,66.0,0.0
158,67.0,0.0
158,68.0,0.0
158,69.0,0.0
158,70.0,0.0
158,71.0,0.0
158,72.0,0.0
158,73.0,0.0
158,74.0,0.0
158,75.0,0.0
158,76.0,0.0
158,77.0,0.0
158,78.0,0.0
158,79.0,0.0
158,80.0,0.0
158,81.0,0.0
158,82.0,0.0
158,83.0,0.0
158,84.0,0.0
158,85.0,0.0
158,86.0,0.0
158,87.0,0.0
158,88.0,0.0
158,89.0,0.0
158,90.0,0.0
158,91.0,0.0
158,92.0,0.0
158,93.0,0.0
158,94.0,0.0
158,95.0,0.0
158,96.0,0.0
158,97.0,0.0
158,98.0,0.0
158,99.0,0.0
200,1.77,12.184492408536684
200,2.0,8.771175777120092
200,2.36,5.418064774750024
200,2.7199999999999998,3.546605480120936
200,3.08,2.481784991947383
200,3.44,1.8427066714162414
200,3.8,1.426093654414163
200,4.16,1.129582320810989
200,4.52,0.904168317954998
200,4.88,0.7267036307115319
200,5.24,0.585199553014014
200,5.6,0.4720129991394974
200,5.96,0.3813316937040263
200,6.32,0.30842240337185534
200,6.68,0.24952643354466528
200,7.04,0.20179983897407844
200,7.3999999999999995,0.16305202256768508
200,7.76,0.13156761108610115
200,8.120000000000001,0.1059796279860328
200,8.48,0.08519321964252043
200,8.84,0.06830674511319296
200,9.2,0.054608602545902246
200,9.559999999999999,0.04350266944538066
200,9.92,0.03452047824715266
200,10.28,0.02726618480375257
200,10.64,0.021429476753525772
200,11.0,0.01674170584401439
200,11.36,0.012993436071395336
200,11.719999999999999,0.0100083741424019
200,12.08,0.007642552677458546
200,12.44,0.005778898102394666
200,12.799999999999999,0.004319633346782035
200,13.16,0.0031862071248852345
200,13.52,0.0023141471200937005
200,13.879999999999999,0.0016498512413214688
200,14.24,0.0011509256077810608
200,14.6,0.0007822335384990686
200,14.959999999999999,0.0005147564292508019
200,15.32,0.0003255477057553603
200,15.68,0.0001953917566183056
200,16.04,0.00010941400848352651
200,16.4,5.572170320243171e-05
200,16.759999999999998,2.4748502748704837e-05
200,17.119999999999997,8.868490820721877e-06
200,17.479999999999997,2.1328238161006548e-06
200,17.84,1.96630834868702e-07
200,18.2,0.0
200,18.56,0.0
200,18.919999999999998,0.0
200,19.28,0.0
200,19.64,0.0
200,20.0,0.0
200,21.0,0.0
200,22.0,0.0
200,23.0,0.0
200,24.0,0.0
200,25.0,0.0
200,26.0,0.0
200,27.0,0.0
200,28.0,0.0
200,29.0,0.0
200,30.0,0.0
200,31.0,0.0
200,32.0,0.0
200,33.0,0.0
200,34.0,0.0
200,35.0,0.0
200,36.0,0.0
200,37.0,0.0
200,38.0,0.0
200,39.0,0.0
200,40.0,0.0
200,41.0,0.0
200,42.0,0.0
200,43.0,0.0
200,44.0,0.0
200,45.0,0.0
200,46.0,0.0
200,47.0,0.0
200,48.0,0.0
200,49.0,0.0
200,50.0,0.0
200,51.0,0.0
200,52.0,0.0
200,53.0,0.0
200,54.0,0.0
200,55.0,0.0
200,56.0,0.0
200,57.0,0.0
200,58.0,0.0
200,59.0,0.0
200,60.0,0.0
200,61.0,0.0
200,62.0,0.0
200,63.0,0.0
200,64.0,0.0
200,65.0,0.0
200,66.0,0.0
200,67.0,0.0
200,68.0,0.0
200,69.0,0.0
200,70.0,0.0
200,71.0,0.0
200,72.0,0.0
200,73.0,0.0
200,74.0,0.0
200,75.0,0.0
200,76.0,0.0
200,77.0,0.0
200,78.0,0.0
200,79.0,0.0
200,80.0,0.0
200,81.0,0.0
200,82.0,0.0
200,83.0,0.0
200,84.0,0.0
200,85.0,0.0
200,86.0,0.0
200,87.0,0.0
200,88.0,0.0
200,89.0,0.0
200,90.0,0.0
200,91.0,0.0
200,92.0,0.0
200,93.0,0.0
200,94.0,0.0
200,95.0,0.0
200,96.0,0.0
200,97.0,0.0
200,98.0,0.0
200,99.0,0.0
251,1.77,20.72306637396288
251,2.0,15.096610908500734
251,2.36,9.28966272025316
251,2.7199999999999998,5.873891304210772
251,3.08,3.879044904100896
251,3.44,2.704957661693395
251,3.8,1.9932412079243185
251,4.16,1.5375246145766306
251,4.52,1.22389077172992
251,4.88,0.991991260830271
251,5.24,0.8111595744768677
251,5.6,0.6658669528728484
251,5.96,0.547634315832704
251,6.32,0.45107170033577887
251,6.68,0.37206333078372494
251,7.04,0.3073179321544506
251,7.3999999999999995,0.2540391805442707
251,7.76,0.21004182442708225
251,8.120000000000001,0.17360545112290882
251,8.48,0.14338638313523022
251,8.84,0.11831864108386517
251,9.2,0.09750805484535392
251,9.559999999999999,0.08023874330580745
251,9.92,0.06590491230929744
251,10.28,0.05401502049956016
251,10.64,0.044162059999389575
251,11.0,0.0360040922742147
251,11.36,0.029257189376771346
251,11.719999999999999,0.023691571448583377
251,12.08,0.01910786047864179
251,12.44,0.015341013407191281
251,12.799999999999999,0.01225353854247004
251,13.16,0.009732137529542566
251,13.52,0.0076793601217980114
251,13.879999999999999,0.006016161188025658
251,14.24,0.004674152388828112
251,14.6,0.0035977605975617056
251,14.959999999999999,0.002739471731679062
251,15.32,0.0020598321964796044
251,15.68,0.0015268192027166538
251,16.04,0.0011128055631873489
251,16.4,0.000795027272054677
251,16.759999999999998,0.0005545984377057398
251,17.119999999999997,0.00037591975807250836
251,17.479999999999997,0.0002459985260590045
251,17.84,0.00015400908442367832
251,18.2,9.118242845443385e-05
251,18.56,5.005240032873965e-05
251,18.919999999999998,2.467419910238373e-05
251,19.28,1.0359613194925135e-05
251,19.64,3.366157878719414e-06
251,20.0,6.568496136885932e-07
251,21.0,0.0
251,22.0,0.0
251,23.0,0.0
251,24.0,0.0
251,25.0,0.0
251,26.0,0.0
251,27.0,0.0
251,28.0,0.0
251,29.0,0.0
251,30.0,0.0
251,31.0,0.0
251,32.0,0.0
251,33.0,0.0
251,34.0,0.0
251,35.0,0.0
251,36.0,0.0
251,37.0,0.0
251,38.0,0.0
251,39.0,0.0
251,40.0,0.0
251,41.0,0.0
251,42.0,0.0
251,43.0,0.0
251,44.0,0.0
251,45.0,0.0
251,46.0,0.0
251,47.0,0.0
251,48.0,0.0
251,49.0,0.0
251,50.0,0.0
251,51.0,0.0
251,52.0,0.0
251,53.0,0.0
251,54.0,0.0
251,55.0,0.0
251,56.0,0.0
251,57.0,0.0
251,58.0,0.0
251,59.0,0.0
251,60.0,0.0
251,61.0,0.0
251,62.0,0.0
251,63.0,0.0
251,64.0,0.0
251,65.0,0.0
251,66.0,0.0
251,67.0,0.0
251,68.0,0.0
251,69.0,0.0
251,70.0,0.0
251,71.0,0.0
251,72.0,0.0
251,73.0,0.0
251,74.0,0.0
251,75.0,0.0
251,76.0,0.0
251,77.0,0.0
251,78.0,0.0
251,79.0,0.0
251,80.0,0.0
251,81.0,0.0
251,82.0,0.0
251,83.0,0.0
251,84.0,0.0
251,85.0,0.0
251,86.0,0.0
251,87.0,0.0
251,88.0,0.0
251,89.0,0.0
251,90.0,0.0
251,91.0,0.0
251,92.0,0.0
251,93.0,0.0
251,94.0,0.0
251,95.0,0.0
251,96.0,0.0
251,97.0,0.0
251,98.0,0.0
251,99.0,0.0
316,1.77,34.077215375559454
316,2.0,25.42639071059807
316,2.36,16.07308113110486
316,2.7199999999999998,10.236892942297107
316,3.08,6.638180075188395
316,3.44,4.434723235553675
316,3.8,3.084922731973933
316,4.16,2.2476293245995302
316,4.52,1.712914931276003
316,4.88,1.3548767959093333
316,5.24,1.10043672395701
316,5.6,0.908479695168695
316,5.96,0.7566691933411057
316,6.32,0.6329554139556094
316,6.68,0.5305992746983674
316,7.04,0.44540680600286175
316,7.3999999999999995,0.3743991934142911
316,7.76,0.3150995507435301
316,8.120000000000001,0.2654826884542469
316,8.48,0.22384325475604921
316,8.84,0.18879130096473384
316,9.2,0.15920759930422118
316,9.559999999999999,0.13419902491342706
316,9.92,0.1130533703709464
316,10.28,0.09515222412187842
316,10.64,0.08000367159665649
316,11.0,0.06718388727391937
316,11.36,0.05633400326514631
316,11.719999999999999,0.04715657039499246
316,12.08,0.03939596018131798
316,12.44,0.032840226109405415
316,12.799999999999999,0.027311639652794845
316,13.16,0.022649896472571984
316,13.52,0.01872697842551725
316,13.879999999999999,0.015432924223279413
316,14.24,0.012670767801618398
316,14.6,0.010359755789962887
316,14.959999999999999,0.008434119636394071
316,15.32,0.006829450484577872
316,15.68,0.005501268739031154
316,16.04,0.004402802921874042
316,16.4,0.003499528434630189
316,16.759999999999998,0.0027598905384755654
316,17.119999999999997,0.002157094028614961
316,17.479999999999997,0.0016691063021547674
316,17.84,0.0012765108806963611
316,18.2,0.000963028993108879
316,18.56,0.0007153050776404611
316,18.919999999999998,0.0005214713508990004
316,19.28,0.000371987820980062
316,19.64,0.00025844225725389213
316,20.0,0.0001739231843240604
316,21.0,4.546634526573564e-05
316,22.0,6.024934902488554e-06
316,23.0,4.909797662916575e-08
316,24.0,0.0
316,25.0,0.0
316,26.0,0.0
316,27.0,0.0
316,28.0,0.0
316,29.0,0.0
316,30.0,0.0
316,31.0,0.0
316,32.0,0.0
316,33.0,0.0
316,34.0,0.0
316,35.0,0.0
316,36.0,0.0
316,37.0,0.0
316,38.0,0.0
316,39.0,0.0
316,40.0,0.0
316,41.0,0.0
316,42.0,0.0
316,43.0,0.0
316,44.0,0.0
316,45.0,0.0
316,46.0,0.0
316,47.0,0.0
316,48.0,0.0
316,49.0,0.0
316,50.0,0.0
316,51.0,0.0
316,52.0,0.0
316,53.0,0.0
316,54.0,0.0
316,55.0,0.0
316,56.0,0.0
316,57.0,0.0
316,58.0,0.0
316,59.0,0.0
316,60.0,0.0
316,61.0,0.0
316,62.0,0.0
316,63.0,0.0
316,64.0,0.0
316,65.0,0.0
316,66.0,0.0
316,67.0,0.0
316,68.0,0.0
316,69.0,0.0
316,70.0,0.0
316,71.0,0.0
316,72.0,0.0
316,73.0,0.0
316,74.0,0.0
316,75.0,0.0
316,76.0,0.0
316,77.0,0.0
316,78.0,0.0
316,79.0,0.0
316,80.0,0.0
316,81.0,0.0
316,82.0,0.0
316,83.0,0.0
316,84.0,0.0
316,85.0,0.0
316,86.0,0.0
316,87.0,0.0
316,88.0,0.0
316,89.0,0.0
316,90.0,0.0
316,91.0,0.0
316,92.0,0.0
316,93.0,0.0
316,94.0,0.0
316,95.0,0.0
316,96.0,0.0
316,97.0,0.0
316,98.0,0.0
316,99.0,0.0
398,1.77,53.25587001981892
398,2.0,40.79648997054092
398,2.36,26.791484133564953
398,2.7199999999999998,17.588873903466876
398,3.08,11.600838214980836
398,3.44,7.735463397825019
398,3.8,5.2552792187177015
398,4.16,3.668415099337727
398,4.52,2.6501690406729286
398,4.88,1.989036317377679
398,5.24,1.5494112607887187
398,5.6,1.2459983010785025
398,5.96,1.0264257239306618
398,6.32,0.8594061480232439
398,6.68,0.7266632127389979
398,7.04,0.6177829292430871
398,7.3999999999999995,0.526677562677745
398,7.76,0.4497194642547587
398,8.120000000000001,0.3844602212945938
398,8.48,0.32903150619977684
398,8.84,0.28190498465971214
398,9.2,0.2417741056146451
398,9.559999999999999,0.20749595064628587
398,9.92,0.17817169356639945
398,10.28,0.1530081432339154
398,10.64,0.13137524675271178
398,11.0,0.11275924620149826
398,11.36,0.09673224031113639
398,11.719999999999999,0.08292713365692385
398,12.08,0.07104048444575643
398,12.44,0.06079991577311772
398,12.799999999999999,0.05197452632211561
398,13.16,0.04437635258763781
398,13.52,0.037835559511813624
398,13.879999999999999,0.03220621173101005
398,14.24,0.02736479289680092
398,14.6,0.023205027062004266
398,14.959999999999999,0.019635209375875817
398,15.32,0.016573900228268986
398,15.68,0.013954565848368248
398,16.04,0.011715250890102025
398,16.4,0.00980465674232696
398,16.759999999999998,0.008176793644844383
398,17.119999999999997,0.006793339752198308
398,17.479999999999997,0.005620907270182779
398,17.84,0.004629103949781387
398,18.2,0.0037931970655580368
398,18.56,0.0030912725903531383
398,18.919999999999998,0.0025033056903298284
398,19.28,0.0020133192302123205
398,19.64,0.0016068525449383704
398,20.0,0.0012715539983738095
398,21.0,0.0006282793513893018
398,22.0,0.00027834073648497584
398,23.0,0.00010348399092482827
398,24.0,2.827538587383114e-05
398,25.0,4.056679218960184e-06
398,26.0,5.338564751196708e-08
398,27.0,0.0
398,28.0,0.0
398,29.0,0.0
398,30.0,0.0
398,31.0,0.0
398,32.0,0.0
398,33.0,0.0
398,34.0,0.0
398,35.0,0.0
398,36.0,0.0
398,37.0,0.0
398,38.0,0.0
398,39.0,0.0
398,40.0,0.0
398,41.0,0.0
398,42.0,0.0
398,43.0,0.0
398,44.0,0.0
398,45.0,0.0
398,46.0,0.0
398,47.0,0.0
398,48.0,0.0
398,49.0,0.0
398,50.0,0.0
398,51.0,0.0
398,52.0,0.0
398,53.0,0.0
398,54.0,0.0
398,55.0,0.0
398,56.0,0.0
398,57.0,0.0
398,58.0,0.0
398,59.0,0.0
